Figure,Setting,Indicator,Group,Subgroup,Time,Start_Time,End_Time,Value,Measure
0,ED,,,,54,01/06/2021 12:00:00 AM,01/12/2021 12:00:00 AM,27777.0,Number of encounters
0,ED,,,,55,01/13/2021 12:00:00 AM,01/19/2021 12:00:00 AM,27500.0,Number of encounters
0,ED,,,,56,01/20/2021 12:00:00 AM,01/26/2021 12:00:00 AM,27531.0,Number of encounters
0,ED,,,,57,01/27/2021 12:00:00 AM,02/02/2021 12:00:00 AM,26143.0,Number of encounters
0,ED,,,,58,02/03/2021 12:00:00 AM,02/09/2021 12:00:00 AM,28194.0,Number of encounters
0,ED,,,,59,02/10/2021 12:00:00 AM,02/16/2021 12:00:00 AM,27502.0,Number of encounters
0,ED,,,,60,02/17/2021 12:00:00 AM,02/23/2021 12:00:00 AM,27600.0,Number of encounters
0,ED,,,,61,02/24/2021 12:00:00 AM,03/02/2021 12:00:00 AM,28142.0,Number of encounters
0,ED,,,,62,03/03/2021 12:00:00 AM,03/09/2021 12:00:00 AM,27784.0,Number of encounters
0,ED,,,,63,03/10/2021 12:00:00 AM,03/16/2021 12:00:00 AM,26439.0,Number of encounters
0,ED,,,,64,03/17/2021 12:00:00 AM,03/23/2021 12:00:00 AM,26352.0,Number of encounters
0,ED,,,,65,03/24/0201 12:00:00 AM,03/30/2021 12:00:00 AM,20445.0,Number of encounters
0,IP,,,,12,03/18/2020 12:00:00 AM,03/24/2020 12:00:00 AM,8889.0,Number of encounters
0,IP,,,,13,03/25/2020 12:00:00 AM,03/31/2020 12:00:00 AM,8984.0,Number of encounters
0,IP,,,,14,04/01/2020 12:00:00 AM,04/07/2020 12:00:00 AM,8870.0,Number of encounters
0,IP,,,,15,04/08/2020 12:00:00 AM,04/14/2020 12:00:00 AM,8667.0,Number of encounters
0,IP,,,,16,04/15/2020 12:00:00 AM,04/21/2020 12:00:00 AM,8482.0,Number of encounters
0,IP,,,,17,04/22/2020 12:00:00 AM,04/28/2020 12:00:00 AM,8351.0,Number of encounters
0,IP,,,,18,04/29/2020 12:00:00 AM,05/05/2020 12:00:00 AM,8763.0,Number of encounters
0,IP,,,,19,05/06/2020 12:00:00 AM,05/12/2020 12:00:00 AM,8892.0,Number of encounters
0,IP,,,,20,05/13/2020 12:00:00 AM,05/19/2020 12:00:00 AM,9285.0,Number of encounters
0,IP,,,,21,05/20/2020 12:00:00 AM,05/26/2020 12:00:00 AM,8992.0,Number of encounters
0,IP,,,,22,05/27/2020 12:00:00 AM,06/02/2020 12:00:00 AM,10115.0,Number of encounters
0,IP,,,,23,06/03/2020 12:00:00 AM,06/09/2020 12:00:00 AM,10192.0,Number of encounters
0,IP,,,,24,06/10/2020 12:00:00 AM,06/16/2020 12:00:00 AM,10429.0,Number of encounters
0,IP,,,,25,06/17/2020 12:00:00 AM,06/23/2020 12:00:00 AM,10590.0,Number of encounters
0,IP,,,,26,06/24/2020 12:00:00 AM,06/30/2020 12:00:00 AM,10763.0,Number of encounters
0,IP,,,,27,07/01/2020 12:00:00 AM,07/07/2020 12:00:00 AM,10360.0,Number of encounters
0,IP,,,,28,07/08/2020 12:00:00 AM,07/14/2020 12:00:00 AM,10920.0,Number of encounters
0,IP,,,,29,07/15/2020 12:00:00 AM,07/21/2020 12:00:00 AM,10797.0,Number of encounters
0,IP,,,,30,07/22/2020 12:00:00 AM,07/28/2020 12:00:00 AM,10976.0,Number of encounters
0,IP,,,,31,07/29/2020 12:00:00 AM,08/04/2020 12:00:00 AM,10748.0,Number of encounters
0,IP,,,,32,08/05/2020 12:00:00 AM,08/11/2020 12:00:00 AM,10911.0,Number of encounters
0,IP,,,,33,08/12/2020 12:00:00 AM,08/18/2020 12:00:00 AM,10884.0,Number of encounters
0,IP,,,,34,08/19/2020 12:00:00 AM,08/25/2020 12:00:00 AM,11165.0,Number of encounters
0,IP,,,,35,08/26/2020 12:00:00 AM,09/01/2020 12:00:00 AM,10969.0,Number of encounters
0,IP,,,,36,09/02/2020 12:00:00 AM,09/08/2020 12:00:00 AM,10293.0,Number of encounters
0,IP,,,,37,09/09/2020 12:00:00 AM,09/15/2020 12:00:00 AM,11213.0,Number of encounters
0,IP,,,,38,09/16/2020 12:00:00 AM,09/22/2020 12:00:00 AM,11156.0,Number of encounters
0,IP,,,,39,09/23/2020 12:00:00 AM,09/29/2020 12:00:00 AM,11259.0,Number of encounters
0,IP,,,,40,09/30/2020 12:00:00 AM,10/06/2020 12:00:00 AM,11007.0,Number of encounters
0,IP,,,,41,10/07/2020 12:00:00 AM,10/13/2020 12:00:00 AM,11231.0,Number of encounters
0,IP,,,,42,10/14/2020 12:00:00 AM,10/20/2020 12:00:00 AM,11158.0,Number of encounters
0,IP,,,,43,10/21/2020 12:00:00 AM,10/27/2020 12:00:00 AM,11214.0,Number of encounters
0,IP,,,,44,10/28/2020 12:00:00 AM,11/03/2020 12:00:00 AM,10882.0,Number of encounters
0,IP,,,,45,11/04/2020 12:00:00 AM,11/10/2020 12:00:00 AM,11203.0,Number of encounters
0,IP,,,,46,11/11/2020 12:00:00 AM,11/17/2020 12:00:00 AM,11075.0,Number of encounters
0,IP,,,,47,11/18/2020 12:00:00 AM,11/24/2020 12:00:00 AM,11199.0,Number of encounters
0,IP,,,,48,11/25/2020 12:00:00 AM,12/01/2020 12:00:00 AM,10631.0,Number of encounters
0,IP,,,,49,12/02/2020 12:00:00 AM,12/08/2020 12:00:00 AM,11390.0,Number of encounters
0,IP,,,,50,12/09/2020 12:00:00 AM,12/15/2020 12:00:00 AM,11193.0,Number of encounters
0,IP,,,,51,12/16/2020 12:00:00 AM,12/22/2020 12:00:00 AM,10288.0,Number of encounters
0,IP,,,,52,12/23/2020 12:00:00 AM,12/29/2020 12:00:00 AM,9540.0,Number of encounters
0,IP,,,,53,12/30/2020 12:00:00 AM,01/05/2021 12:00:00 AM,10529.0,Number of encounters
0,IP,,,,54,01/06/2021 12:00:00 AM,01/12/2021 12:00:00 AM,11183.0,Number of encounters
0,IP,,,,55,01/13/2021 12:00:00 AM,01/19/2021 12:00:00 AM,10888.0,Number of encounters
0,IP,,,,56,01/20/2021 12:00:00 AM,01/26/2021 12:00:00 AM,11250.0,Number of encounters
0,IP,,,,57,01/27/2021 12:00:00 AM,02/02/2021 12:00:00 AM,10728.0,Number of encounters
0,IP,,,,58,02/03/2021 12:00:00 AM,02/09/2021 12:00:00 AM,11459.0,Number of encounters
0,IP,,,,59,02/10/2021 12:00:00 AM,02/16/2021 12:00:00 AM,11056.0,Number of encounters
0,IP,,,,60,02/17/2021 12:00:00 AM,02/23/2021 12:00:00 AM,10926.0,Number of encounters
0,IP,,,,61,02/24/2021 12:00:00 AM,03/02/2021 12:00:00 AM,10723.0,Number of encounters
0,IP,,,,62,03/03/2021 12:00:00 AM,03/09/2021 12:00:00 AM,9857.0,Number of encounters
0,IP,,,,63,03/10/2021 12:00:00 AM,03/16/2021 12:00:00 AM,9178.0,Number of encounters
0,IP,,,,64,03/17/2021 12:00:00 AM,03/23/2021 12:00:00 AM,7390.0,Number of encounters
0,IP,,,,65,03/24/0201 12:00:00 AM,03/30/2021 12:00:00 AM,3267.0,Number of encounters
1,ED,Confirmed COVID-19,Age,0-4 Years,12,03/18/2020 12:00:00 AM,03/24/2020 12:00:00 AM,0.2,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,13,03/25/2020 12:00:00 AM,03/31/2020 12:00:00 AM,0.2,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,14,04/01/2020 12:00:00 AM,04/07/2020 12:00:00 AM,0.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,15,04/08/2020 12:00:00 AM,04/14/2020 12:00:00 AM,0.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,16,04/15/2020 12:00:00 AM,04/21/2020 12:00:00 AM,0.4,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,17,04/22/2020 12:00:00 AM,04/28/2020 12:00:00 AM,0.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,18,04/29/2020 12:00:00 AM,05/05/2020 12:00:00 AM,0.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,19,05/06/2020 12:00:00 AM,05/12/2020 12:00:00 AM,0.5,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,20,05/13/2020 12:00:00 AM,05/19/2020 12:00:00 AM,0.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,21,05/20/2020 12:00:00 AM,05/26/2020 12:00:00 AM,0.4,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,22,05/27/2020 12:00:00 AM,06/02/2020 12:00:00 AM,0.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,23,06/03/2020 12:00:00 AM,06/09/2020 12:00:00 AM,0.7,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,24,06/10/2020 12:00:00 AM,06/16/2020 12:00:00 AM,0.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,25,06/17/2020 12:00:00 AM,06/23/2020 12:00:00 AM,0.9,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,26,06/24/2020 12:00:00 AM,06/30/2020 12:00:00 AM,1.0,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,27,07/01/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,28,07/08/2020 12:00:00 AM,07/14/2020 12:00:00 AM,1.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,29,07/15/2020 12:00:00 AM,07/21/2020 12:00:00 AM,2.0,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,30,07/22/2020 12:00:00 AM,07/28/2020 12:00:00 AM,1.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,31,07/29/2020 12:00:00 AM,08/04/2020 12:00:00 AM,1.1,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,32,08/05/2020 12:00:00 AM,08/11/2020 12:00:00 AM,1.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,33,08/12/2020 12:00:00 AM,08/18/2020 12:00:00 AM,1.1,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,34,08/19/2020 12:00:00 AM,08/25/2020 12:00:00 AM,1.1,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,35,08/26/2020 12:00:00 AM,09/01/2020 12:00:00 AM,1.0,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,36,09/02/2020 12:00:00 AM,09/08/2020 12:00:00 AM,0.7,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,37,09/09/2020 12:00:00 AM,09/15/2020 12:00:00 AM,0.7,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,38,09/16/2020 12:00:00 AM,09/22/2020 12:00:00 AM,0.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,39,09/23/2020 12:00:00 AM,09/29/2020 12:00:00 AM,0.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,40,09/30/2020 12:00:00 AM,10/06/2020 12:00:00 AM,0.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,41,10/07/2020 12:00:00 AM,10/13/2020 12:00:00 AM,1.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,42,10/14/2020 12:00:00 AM,10/20/2020 12:00:00 AM,1.4,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,43,10/21/2020 12:00:00 AM,10/27/2020 12:00:00 AM,1.5,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,44,10/28/2020 12:00:00 AM,11/03/2020 12:00:00 AM,1.5,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,45,11/04/2020 12:00:00 AM,11/10/2020 12:00:00 AM,2.4,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,46,11/11/2020 12:00:00 AM,11/17/2020 12:00:00 AM,3.0,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,47,11/18/2020 12:00:00 AM,11/24/2020 12:00:00 AM,4.1,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,48,11/25/2020 12:00:00 AM,12/01/2020 12:00:00 AM,3.7,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,49,12/02/2020 12:00:00 AM,12/08/2020 12:00:00 AM,5.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,50,12/09/2020 12:00:00 AM,12/15/2020 12:00:00 AM,4.5,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,51,12/16/2020 12:00:00 AM,12/22/2020 12:00:00 AM,5.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,52,12/23/2020 12:00:00 AM,12/29/2020 12:00:00 AM,4.5,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,53,12/30/2020 12:00:00 AM,01/05/2021 12:00:00 AM,5.1,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,54,01/06/2021 12:00:00 AM,01/12/2021 12:00:00 AM,4.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,55,01/13/2021 12:00:00 AM,01/19/2021 12:00:00 AM,3.3,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,56,01/20/2021 12:00:00 AM,01/26/2021 12:00:00 AM,3.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,57,01/27/2021 12:00:00 AM,02/02/2021 12:00:00 AM,4.2,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,58,02/03/2021 12:00:00 AM,02/09/2021 12:00:00 AM,2.5,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,59,02/10/2021 12:00:00 AM,02/16/2021 12:00:00 AM,2.1,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,60,02/17/2021 12:00:00 AM,02/23/2021 12:00:00 AM,2.6,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,61,02/24/2021 12:00:00 AM,03/02/2021 12:00:00 AM,2.2,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,62,03/03/2021 12:00:00 AM,03/09/2021 12:00:00 AM,1.9,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,63,03/10/2021 12:00:00 AM,03/16/2021 12:00:00 AM,1.9,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,64,03/17/2021 12:00:00 AM,03/23/2021 12:00:00 AM,1.8,Percent
1,ED,Confirmed COVID-19,Age,0-4 Years,65,03/24/0201 12:00:00 AM,03/30/2021 12:00:00 AM,2.2,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,12,03/18/2020 12:00:00 AM,03/24/2020 12:00:00 AM,0.7,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,13,03/25/2020 12:00:00 AM,03/31/2020 12:00:00 AM,0.9,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,14,04/01/2020 12:00:00 AM,04/07/2020 12:00:00 AM,2.6,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,15,04/08/2020 12:00:00 AM,04/14/2020 12:00:00 AM,4.0,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,16,04/15/2020 12:00:00 AM,04/21/2020 12:00:00 AM,4.1,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,17,04/22/2020 12:00:00 AM,04/28/2020 12:00:00 AM,3.3,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,18,04/29/2020 12:00:00 AM,05/05/2020 12:00:00 AM,3.0,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,19,05/06/2020 12:00:00 AM,05/12/2020 12:00:00 AM,1.6,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,20,05/13/2020 12:00:00 AM,05/19/2020 12:00:00 AM,1.3,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,21,05/20/2020 12:00:00 AM,05/26/2020 12:00:00 AM,1.0,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,22,05/27/2020 12:00:00 AM,06/02/2020 12:00:00 AM,1.0,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,23,06/03/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1.0,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,24,06/10/2020 12:00:00 AM,06/16/2020 12:00:00 AM,0.8,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,25,06/17/2020 12:00:00 AM,06/23/2020 12:00:00 AM,1.2,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,26,06/24/2020 12:00:00 AM,06/30/2020 12:00:00 AM,1.9,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,27,07/01/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1.9,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,28,07/08/2020 12:00:00 AM,07/14/2020 12:00:00 AM,2.3,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,29,07/15/2020 12:00:00 AM,07/21/2020 12:00:00 AM,1.9,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,30,07/22/2020 12:00:00 AM,07/28/2020 12:00:00 AM,1.5,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,31,07/29/2020 12:00:00 AM,08/04/2020 12:00:00 AM,1.4,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,32,08/05/2020 12:00:00 AM,08/11/2020 12:00:00 AM,1.7,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,33,08/12/2020 12:00:00 AM,08/18/2020 12:00:00 AM,0.9,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,34,08/19/2020 12:00:00 AM,08/25/2020 12:00:00 AM,0.8,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,35,08/26/2020 12:00:00 AM,09/01/2020 12:00:00 AM,0.9,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,36,09/02/2020 12:00:00 AM,09/08/2020 12:00:00 AM,0.8,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,37,09/09/2020 12:00:00 AM,09/15/2020 12:00:00 AM,0.8,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,38,09/16/2020 12:00:00 AM,09/22/2020 12:00:00 AM,0.6,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,39,09/23/2020 12:00:00 AM,09/29/2020 12:00:00 AM,0.7,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,40,09/30/2020 12:00:00 AM,10/06/2020 12:00:00 AM,1.2,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,41,10/07/2020 12:00:00 AM,10/13/2020 12:00:00 AM,1.3,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,42,10/14/2020 12:00:00 AM,10/20/2020 12:00:00 AM,1.4,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,43,10/21/2020 12:00:00 AM,10/27/2020 12:00:00 AM,1.5,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,44,10/28/2020 12:00:00 AM,11/03/2020 12:00:00 AM,2.3,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,45,11/04/2020 12:00:00 AM,11/10/2020 12:00:00 AM,3.3,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,46,11/11/2020 12:00:00 AM,11/17/2020 12:00:00 AM,4.5,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,47,11/18/2020 12:00:00 AM,11/24/2020 12:00:00 AM,5.0,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,48,11/25/2020 12:00:00 AM,12/01/2020 12:00:00 AM,5.6,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,49,12/02/2020 12:00:00 AM,12/08/2020 12:00:00 AM,5.4,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,50,12/09/2020 12:00:00 AM,12/15/2020 12:00:00 AM,5.8,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,51,12/16/2020 12:00:00 AM,12/22/2020 12:00:00 AM,5.9,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,52,12/23/2020 12:00:00 AM,12/29/2020 12:00:00 AM,5.3,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,53,12/30/2020 12:00:00 AM,01/05/2021 12:00:00 AM,5.1,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,54,01/06/2021 12:00:00 AM,01/12/2021 12:00:00 AM,5.4,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,55,01/13/2021 12:00:00 AM,01/19/2021 12:00:00 AM,4.4,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,56,01/20/2021 12:00:00 AM,01/26/2021 12:00:00 AM,5.5,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,57,01/27/2021 12:00:00 AM,02/02/2021 12:00:00 AM,4.3,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,58,02/03/2021 12:00:00 AM,02/09/2021 12:00:00 AM,4.0,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,59,02/10/2021 12:00:00 AM,02/16/2021 12:00:00 AM,3.1,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,60,02/17/2021 12:00:00 AM,02/23/2021 12:00:00 AM,3.1,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,61,02/24/2021 12:00:00 AM,03/02/2021 12:00:00 AM,2.9,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,62,03/03/2021 12:00:00 AM,03/09/2021 12:00:00 AM,3.0,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,63,03/10/2021 12:00:00 AM,03/16/2021 12:00:00 AM,3.2,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,64,03/17/2021 12:00:00 AM,03/23/2021 12:00:00 AM,3.5,Percent
1,ED,Confirmed COVID-19,Age,18-29 Years,65,03/24/0201 12:00:00 AM,03/30/2021 12:00:00 AM,3.7,Percent
1,ED,Confirmed COVID-19,Age,30-49 Years,12,03/18/2020 12:00:00 AM,03/24/2020 12:00:00 AM,1.0,Percent
1,ED,Confirmed COVID-19,Age,30-49 Years,13,03/25/2020 12:00:00 AM,03/31/2020 12:00:00 AM,2.5,Percent
1,ED,Confirmed COVID-19,Age,30-49 Years,14,04/01/2020 12:00:00 AM,04/07/2020 12:00:00 AM,4.8,Percent
1,ED,Confirmed COVID-19,Age,30-49 Years,15,04/08/2020 12:00:00 AM,04/14/2020 12:00:00 AM,5.6,Percent
1,ED,Confirmed COVID-19,Age,30-49 Years,16,04/15/2020 12:00:00 AM,04/21/2020 12:00:00 AM,5.9,Percent
1,ED,Confirmed COVID-19,Age,30-49 Years,17,04/22/2020 12:00:00 AM,04/28/2020 12:00:00 AM,5.0,Percent
1,ED,Confirmed COVID-19,Age,30-49 Years,18,04/29/2020 12:00:00 AM,05/05/2020 12:00:00 AM,3.7,Percent
1,ED,Confirmed COVID-19,Age,30-49 Years,19,05/06/2020 12:00:00 AM,05/12/2020 12:00:00 AM,3.4,Percent
1,ED,Confirmed COVID-19,Age,30-49 Years,20,05/13/2020 12:00:00 AM,05/19/2020 12:00:00 AM,2.5,Percent
1,ED,Confirmed COVID-19,Age,30-49 Years,21,05/20/2020 12:00:00 AM,05/26/2020 12:00:00 AM,1.9,Percent
